Field Name,Display Name,Data Type,Required,Editable By,Dropdown Values (if fixed),Source File,Notes
lead_id,Lead ID,String,Auto-generated,System Only,N/A,backend/app/models/lead.py,Format: Tulip_DDMMYYYY_XXX - Auto-generated on creation
name,Name,String,No (defaults to Unknown),Admin Only,N/A,backend/app/models/lead.py,Lead's full name - optional
phone_number,Contact No.,String,IDENTIFIER (at least one required),Admin Only,N/A,backend/app/models/lead.py,10 digits starting with 6-9. At least one of UHID/Contact No./Email required
email,Email,String,IDENTIFIER (at least one required),Admin Only,N/A,backend/app/models/lead.py,Valid email format. At least one of UHID/Contact No./Email required
uhid,UHID,String,IDENTIFIER (at least one required),Admin Only,N/A,backend/app/models/lead.py,Unique Health ID. At least one of UHID/Contact No./Email required
lead_source,Lead Source,Enum,No,Admin + Agent,"Prescription Dump | In Clinic-Gynae Consult | In Clinic-Other Consults | In Clinic-Walk In | AMA | BEWELL | Events | Call | Others | Bump Day | WhatsApp | Mail | Tele-Consultation | Website | Habit Banner",backend/app/models/lead.py & frontend/src/types/lead.types.ts,Source of the lead
lead_creation_date,Lead Creation Date,Date,No,Admin + Agent,N/A (Date picker),backend/app/models/lead.py,Format: YYYY-MM-DD
status,Status,Enum,No (default: Enquiry Lead),Admin + Agent,"Not Interested | Enquiry Lead | Lead Closed-No Response | Enrolled | Follow up-In Process | Follow up-No Response | Duplicate",backend/app/models/lead.py & frontend/src/types/lead.types.ts,Current status of the lead
trimester,Trimester,Enum,No,Admin Only,"Trimester 1 | Trimester 2 | Trimester 3 | Not Conceived",backend/app/models/lead.py & frontend/src/types/lead.types.ts,Pregnancy trimester
looking_for,Looking For,Enum,No,Admin Only,"Self | Family Member",backend/app/models/lead.py & frontend/src/types/lead.types.ts,Who the service is for
family_member_relation,Relation,String,No,Admin Only,N/A,backend/app/models/lead.py,Free text for relation (Mother/Daughter/Sister/Wife etc.) - shown when Looking For is Family Member
alternate_mobile_number,Alternate Mobile Number,String,No,Admin Only,N/A,backend/app/models/lead.py,Alternative contact number for family member inquiries
employee_id,Employee ID,String,No,Admin Only,N/A,backend/app/models/lead.py,Employee identifier
city,City,String,No,Admin Only,N/A,backend/app/models/lead.py,City name
pin_code,PIN Code,String,No,Admin Only,N/A,backend/app/models/lead.py,Postal PIN code
address,Address,String,No,Admin Only,N/A,backend/app/models/lead.py,Full address
user_facility,Facility Name,String,No,Admin Only,N/A,backend/app/models/lead.py,HCL facility name
package_requested,Package Requested,String,No,Admin Only,N/A,backend/app/models/lead.py,Package name requested by lead
service_enrolled,Service Requested,Enum,No,Admin Only,"PreConception | Antenatal | MaternityWellness",backend/app/models/lead.py & frontend/src/types/lead.types.ts,Type of service requested
